Time,Users,CPU,Memory
1435131447,0,70.6,56840192
1435131447,0,49.3,57016320
1435131447,0,33,57044992
1435131447,0,21.9,57044992
1435131447,0,15.1,57044992
1435131447,0,15.1,57049088
1435131447,0,10.9,57049088
1435131447,0,7.6,57049088
1435131448,0,5.8,57049088
1435131448,0,5.1,57049088
1435131448,0,4.2,57061376
1435131448,0,4.7,57077760
1435131448,0,4.7,57081856
1435131448,0,5,57085952
1435131448,0,4.6,57094144
1435131448,0,4.4,57098240
1435131448,0,3.5,57098240
1435131449,0,3.5,57098240
1435131449,0,4.3,57135104
1435131449,0,5.1,57139200
1435131449,0,5.1,57155584
1435131449,0,4.8,57155584
1435131449,0,4,57155584
1435131449,0,3.9,57155584
1435131449,0,4.2,57163776
1435131449,0,3.7,57163776
1435131450,0,3.4,57167872
1435131450,0,3.4,57167872
1435131450,0,3.7,57167872
1435131450,0,3.6,57167872
1435131450,0,3.5,57171968
1435131450,0,3.2,57171968
1435131450,0,3.4,57184256
1435131450,0,3.4,57184256
1435131450,0,3.4,57208832
1435131450,0,5.1,57208832
1435131451,0,5.2,57249792
1435131451,0,5.3,57249792
1435131451,0,4,57249792
1435131451,0,3.5,57253888
1435131451,0,4.6,57282560
1435131451,0,4.4,57290752
1435131451,0,5.3,57290752
1435131451,0,5.3,57303040
1435131451,0,9.2,57589760
1435131452,0,6.7,57589760
